# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
240 -2.9009 -0.3220 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
241 -2.8767 -0.2965 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
242 -2.9503 -0.3225 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
243 -2.9324 -0.3190 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
244 -2.8788 -0.3044 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
245 -2.9701 -0.3385 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
246 -2.9525 -0.3403 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
247 -2.8905 -0.3331 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
248 -2.8060 -0.3214 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
249 -2.8226 -0.3187 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
250 -2.8899 -0.3341 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
251 -2.9380 -0.3475 0 0.0000 8.994 8.92 1.24 3.14 -3.04 0.10
252 -2.8998 -0.3293 0 0.0000 8.993 8.92 1.24 3.14 -3.04 0.10
253 -2.8465 -0.3269 0 0.0000 8.992 8.91 1.24 3.14 -3.04 0.10
254 -2.8677 -0.3154 0 0.0000 8.991 8.91 1.24 3.14 -3.04 0.10
255 -2.8635 -0.3134 0 0.0000 8.991 8.91 1.24 3.14 -3.04 0.10
256 -2.7769 -0.2809 0 0.0000 8.990 8.91 1.24 3.14 -3.04 0.10
257 -2.7486 -0.2756 0 0.0000 8.989 8.91 1.24 3.14 -3.04 0.10
258 -2.7766 -0.2941 0 0.0000 8.989 8.91 1.24 3.14 -3.04 0.10
259 -2.7458 -0.2845 0 0.0000 8.989 8.91 1.24 3.14 -3.04 0.10
260 -2.7107 -0.2748 0 0.0000 8.989 8.91 1.24 3.14 -3.04 0.10
261 -2.7472 -0.2914 0 0.0000 8.988 8.91 1.24 3.14 -3.04 0.10
262 -2.7136 -0.3068 0 0.0000 8.988 8.91 1.24 3.14 -3.04 0.10
263 -2.7599 -0.3060 0 0.0000 8.988 8.91 1.24 3.14 -3.04 0.10
264 -2.7393 -0.3049 0 0.0000 8.988 8.91 1.24 3.14 -3.04 0.10
265 -2.7392 -0.2910 0 0.0000 8.988 8.91 1.24 3.14 -3.04 0.10
266 -2.7870 -0.2769 0 0.0000 8.988 8.91 1.24 3.14 -3.04 0.10
267 -2.7810 -0.2769 0 0.0000 8.988 8.91 1.24 3.14 -3.04 0.10
268 -2.7720 -0.2996 0 0.0000 8.988 8.91 1.24 3.14 -3.04 0.10
269 -2.7927 -0.3057 0 0.0000 8.988 8.91 1.24 3.14 -3.04 0.10
270 -2.8082 -0.3110 0 0.0000 8.988 8.91 1.24 3.14 -3.04 0.10
271 -2.7827 -0.2901 0 0.0000 8.987 8.91 1.24 3.14 -3.04 0.10
272 -2.7592 -0.2759 0 0.0000 8.987 8.91 1.24 3.14 -3.04 0.10
273 -2.7787 -0.2830 0 0.0000 8.987 8.91 1.24 3.14 -3.04 0.10
274 -2.8110 -0.3055 0 0.0000 8.986 8.91 1.24 3.14 -3.04 0.10
275 -2.8229 -0.3221 0 0.0000 8.986 8.91 1.24 3.14 -3.04 0.10
276 -2.7875 -0.3166 0 0.0000 8.986 8.91 1.24 3.14 -3.04 0.10
